x,y,z
18.81851518050796,16.325468153738555,30.857212095127238
21.39526022922518,21.972620644458903,21.098098281367278
24.906327625709114,26.933361928641798,23.213010991749254
19.55532425738417,19.131159307060813,11.949186154244403
25.389607639986664,25.711941701473314,14.60989507246698
28.581582464544585,28.997734086530322,17.780306859993143
23.94699162263977,24.622167585517598,23.677753759777335
24.963493514178975,20.26201292148931,20.806471782562852
34.87340621557587,20.17957079815024,23.61778061283134
21.806986855085146,21.329822650444136,23.874609746712316
27.150488204940267,21.806943697476445,22.72716179793498
21.122044391458473,23.147425401021895,27.818691274532195
25.173194823914244,20.203992091459757,26.395423244560938
30.72486728940209,24.863216449992198,19.745716447608874
22.935019272655786,21.788556240921416,17.07509654843799
21.151930671691723,33.40382575932904,20.989801463589114
29.38757353029861,27.342322088943067,15.97413464966344
32.01679139178168,18.36178010872839,19.817789003926297
30.392083588552637,17.590841708562674,22.69572893315899
18.049914797431327,25.633363229155865,20.243744762497148
31.507368495827752,17.11307337035423,17.18329150256183
18.987365239323157,15.035730520941682,19.673142260148005
31.766456411092335,17.18627648750519,21.97429715998199
22.853772206845456,17.481787756829696,19.191968909674664
25.614919938635175,16.303543995524834,23.498367805578724
30.505056524213167,19.35586413136778,21.515683184746557
28.256056514131338,24.79987642715966,14.451259619699563
22.63389843969744,17.41075245786711,21.188615288670242
17.783944943331697,20.83844837653966,14.744214027914087
17.89694925375096,22.933244520931904,19.061876678793812
25.990933249903637,26.751486614122868,18.07205817997858
26.18420294715747,15.569504861605129,16.420616183227377
32.54741550163595,20.74088403223336,25.97479951404337
19.509200928714517,15.32814582670975,26.381058584032964
23.566409732610904,18.671684461893257,19.24944619859386
12.563760534116753,24.88371686942746,9.02939378072401
19.987272544061135,16.636359295492284,12.323027146373914
20.173051244995108,17.531966084420674,15.64521805225338
25.763972346221344,11.40745115224561,15.214750354234628
21.814914444799047,18.149400183222006,17.77395636225542
28.252749018230332,28.1358984308237,16.482357207530853
21.381189696342574,18.032517645110985,19.0986448409085
28.41239295975067,15.91031895508809,25.646895629190105
13.983855381505972,21.4191936754282,7.0272561862970395
10.031753479379796,17.455862828304227,22.845365458945423
31.833877337947634,21.22625455219684,24.107986987198792
22.960108689641466,28.216468784351065,20.65834760016023
19.563989591489165,21.05347979021171,16.56810406125981
22.00537200271475,19.268008129598336,29.74998902550766
24.953696495862815,25.609288293812675,13.984468739840956
23.483294457028485,19.721762913390556,19.67359271366058
27.955273982951887,23.75569662806426,23.38831334127307
32.03026981064305,23.660032591917666,13.364614452080074
19.5809182433156,28.270833578337516,17.311784489341374
19.7395645635093,25.920391265113587,18.18470799432899
27.65526317354034,18.745941891947275,13.844734317088967
29.5134570571969,26.80104097900707,23.54908961057937
24.706387372386004,22.781619677065624,19.94204822887218
19.906045948704723,6.9461685332503365,22.979907129591908
19.376394778472793,24.289322074438008,20.711182056027734
23.57783619722788,31.43677964848083,22.45957384939644
22.689274515590938,21.80214352913082,27.02987405546388
27.63654947552104,22.319091856201343,16.4069116760553
25.335346527865052,17.076978424321833,21.26726805394854
27.60059051869483,15.972241248840536,21.973332234720914
25.29329527890497,22.259964396154146,12.720730958165358
21.13427243953098,24.345740596450547,21.252673375152824
17.562264469403054,17.095048356574367,11.871966593655753
24.993515920550337,23.610353499002223,20.465641550064316
18.284901827901248,12.594683310344838,22.568243043716333
29.120828944544293,23.20013613952173,25.805701259969336
21.76449713204554,17.791940589324163,25.408757103655784
19.159059158657442,13.405613905800546,21.23393097615103
25.992393416711685,15.155597900932523,18.253888730307718
27.11241835370963,15.21476960277278,21.20960082280476
18.312277183205808,19.878294068203758,14.550350070197418
22.745080557169725,20.298969013114263,21.695001181794506
21.10162978861747,20.321140800479387,28.672080934116956
24.34724454240048,26.788324595213325,18.392697889800655
27.146570181137854,22.837558166360907,14.247307629248951
21.255845153733247,20.723332208623575,20.77357773539004
41.44656804364125,16.504937365653973,19.46821501756264
25.274790097010502,17.868217509953492,18.962516013022903
25.591568269922867,18.143306047333365,19.541284750361005
22.46913015461885,19.461826460252475,14.566221978075061
30.695794150407586,19.646000430526772,14.721186768862447
22.488354808433968,22.461503213546994,19.7225485914386
28.236653141865776,22.57456800524026,21.72405915798298
23.544214466664524,20.388143925805217,22.64247691702367
21.10311540640488,21.744273715480794,17.90240764799941
19.888092042780816,22.249379539930395,19.93293472976565
32.318243965717464,24.839231193869118,18.212646404053917
29.80366924529003,16.32683067244107,16.663652289504157
20.21823565389016,13.75766382682894,19.944182940877198
24.904378514369338,13.942182337342523,18.579760289830322
33.067378551762445,22.151902301361634,20.885799057466745
31.64594356804181,19.314730809804114,18.91939082017423
13.008622063545145,13.916827346298408,21.249952569110235
31.77360564448233,33.46270704106119,13.006200414216064
21.460794623495644,27.858807228306425,20.205547968131253
